1		I		0		919
2		P		120		1161
3		B		40		302
4		B		80		432
5		P		240		491
6		B		160		284
7		B		200		377
8		P		360		389
9		B		280		269
10		B		320		284
11		I		480		1463
12		B		400		273
13		B		440		329
14		P		600		386
15		B		520		278
16		B		560		247
17		P		720		490
18		B		640		266
19		B		680		333
20		P		840		409
21		B		760		280
22		B		800		360
23		I		960		1472
24		B		880		319
25		B		920		349
26		P		1080		424
27		B		1000		266
28		B		1040		314
29		P		1200		460
30		B		1120		327
31		B		1160		304
32		P		1320		398
33		B		1240		289
34		B		1280		293
35		I		1440		1517
36		B		1360		287
37		B		1400		314
38		P		1560		442
39		B		1480		317
40		B		1520		289
41		P		1680		338
42		B		1600		272
43		B		1640		303
44		P		1800		339
45		B		1720		327
46		B		1760		313
47		I		1920		1504
48		B		1840		329
49		B		1880		352
50		P		2040		383
51		B		1960		391
52		B		2000		273
53		P		2160		442
54		B		2080		280
55		B		2120		398
56		P		2280		424
57		B		2200		270
58		B		2240		332
59		I		2400		1530
60		B		2320		349
61		B		2360		306
62		P		2520		464
63		B		2440		267
64		B		2480		314
65		P		2640		355
66		B		2560		313
67		B		2600		338
68		P		2760		329
69		B		2680		274
70		B		2720		317
71		I		2880		1465
72		B		2800		287
73		B		2840		300
74		P		3000		326
75		B		2920		279
76		B		2960		282
77		P		3120		320
78		B		3040		328
79		B		3080		280
80		P		3240		470
81		B		3160		349
82		B		3200		318
83		I		3360		1314
84		B		3280		316
85		B		3320		285
86		P		3480		456
87		B		3400		290
88		B		3440		316
89		P		3600		475
90		B		3520		227
91		B		3560		242
92		P		3720		425
93		B		3640		212
94		B		3680		213
95		I		3840		687
96		B		3760		195
97		B		3800		177
98		P		3960		196
99		B		3880		163
100		B		3920		132
101		P		4080		84
102		B		4000		45
103		B		4040		51
104		P		4200		92
105		B		4120		76
106		B		4160		34
107		I		4320		428
108		B		4240		90
109		B		4280		130
110		P		4440		94
111		B		4360		53
112		B		4400		50
113		P		4560		66
114		B		4480		39
115		B		4520		49
116		P		4680		90
117		B		4600		72
118		B		4640		38
119		I		4800		422
120		B		4720		69
121		B		4760		79
122		P		4920		78
123		B		4840		35
124		B		4880		35
125		P		5040		105
126		B		4960		35
127		B		5000		30
128		P		5160		86
129		B		5080		46
130		B		5120		45
131		I		5280		408
132		B		5200		84
133		B		5240		85
134		P		5400		87
135		B		5320		28
136		B		5360		46
137		P		5520		46
138		B		5440		29
139		B		5480		32
140		P		5640		44
141		B		5560		30
142		B		5600		34
143		I		5760		409
144		B		5680		46
145		B		5720		73
146		P		5880		39
147		B		5800		26
148		B		5840		26
149		P		6000		51
150		B		5920		28
151		B		5960		34
152		P		6120		9370
153		B		6040		4803
154		B		6080		5100
155		I		6240		7632
156		B		6160		4254
157		B		6200		3940
158		P		6360		4406
159		B		6280		3820
160		B		6320		3787
161		P		6480		4087
162		B		6400		3806
163		B		6440		3384
164		P		6600		3649
165		B		6520		3289
166		B		6560		3487
167		I		6720		5697
168		B		6640		3506
169		B		6680		3025
170		P		6840		3004
171		B		6760		2729
172		B		6800		2746
173		P		6960		3038
174		B		6880		2541
175		B		6920		2334
176		P		7080		2665
177		B		7000		2334
178		B		7040		2070
179		I		7200		4343
180		B		7120		2298
181		B		7160		2378
182		P		7320		2507
183		B		7240		2342
184		B		7280		2109
185		P		7440		2164
186		B		7360		2108
187		B		7400		2102
188		P		7560		2053
189		B		7480		1877
190		B		7520		1852
191		I		7680		3176
192		B		7600		1815
193		B		7640		1808
194		P		7800		1934
195		B		7720		1807
196		B		7760		1661
197		P		7920		1845
198		B		7840		1446
199		B		7880		1432
200		P		8040		1643
201		B		7960		1589
202		B		8000		1567
203		I		8160		2595
204		B		8080		1301
205		B		8120		1304
206		P		8280		1571
207		B		8200		1390
208		B		8240		1475
209		P		8400		1704
210		B		8320		1337
211		B		8360		1274
212		P		8520		1427
213		B		8440		1057
214		B		8480		1085
215		I		8640		1951
216		B		8560		1072
217		B		8600		995
218		P		8760		1445
219		B		8680		890
220		B		8720		854
221		P		8880		1279
222		B		8800		970
223		B		8840		876
224		P		9000		1279
225		B		8920		722
226		B		8960		731
227		I		9120		1668
228		B		9040		849
229		B		9080		951
230		P		9240		1195
231		B		9160		734
232		B		9200		680
233		P		9360		1098
234		B		9280		743
235		B		9320		713
236		P		9480		1133
237		B		9400		709
238		B		9440		658
239		I		9600		1363
240		B		9520		642
241		B		9560		654
242		P		9720		875
243		B		9640		670
244		B		9680		625
245		P		9840		854
246		B		9760		529
247		B		9800		675
248		P		9960		676
249		B		9880		552
250		B		9920		475
251		I		10080		1155
252		B		10000		516
253		B		10040		460
254		P		10200		677
255		B		10120		371
256		B		10160		447
257		P		10320		583
258		B		10240		349
259		B		10280		326
260		P		10440		475
261		B		10360		323
262		B		10400		334
263		I		10560		788
264		B		10480		404
265		B		10520		445
266		P		10680		493
267		B		10600		226
268		B		10640		238
269		P		10800		445
270		B		10720		264
271		B		10760		261
272		P		10920		387
273		B		10840		243
274		B		10880		220
275		I		11040		761
276		B		10960		243
277		B		11000		299
278		P		11160		416
279		B		11080		203
280		B		11120		204
281		P		11280		403
282		B		11200		177
283		B		11240		166
284		P		11400		326
285		B		11320		173
286		B		11360		184
287		I		11520		725
288		B		11440		268
289		B		11480		261
290		P		11640		297
291		B		11560		173
292		B		11600		175
293		P		11760		351
294		B		11680		195
295		B		11720		181
296		P		11880		333
297		B		11800		222
298		B		11840		203
299		I		12000		800
300		B		11920		332
301		B		11960		261
302		P		12120		424
303		B		12040		241
304		B		12080		243
305		P		12240		370
306		B		12160		208
307		B		12200		205
308		P		12360		370
309		B		12280		278
310		B		12320		245
311		I		12480		745
312		B		12400		303
313		B		12440		313
314		P		12600		346
315		B		12520		353
316		B		12560		257
317		P		12720		431
318		B		12640		172
319		B		12680		307
320		P		12840		377
321		B		12760		241
322		B		12800		255
323		I		12960		844
324		B		12880		277
325		B		12920		289
326		P		13080		425
327		B		13000		284
328		B		13040		377
329		P		13200		379
330		B		13120		284
331		B		13160		241
332		P		13320		438
333		B		13240		274
334		B		13280		291
335		I		13440		799
336		B		13360		338
337		B		13400		342
338		P		13560		397
339		B		13480		323
340		B		13520		286
341		P		13680		263
342		B		13600		210
343		B		13640		220
344		P		13800		266
345		B		13720		223
346		B		13760		274
347		I		13920		766
348		B		13840		345
349		B		13880		348
350		P		14040		281
351		B		13960		233
352		B		14000		250
353		P		14160		289
354		B		14080		232
355		B		14120		272
356		P		14280		328
357		B		14200		239
358		B		14240		260
359		I		14400		688
360		B		14320		307
361		B		14360		296
362		P		14520		333
363		B		14440		321
364		B		14480		221
365		P		14640		223
366		B		14560		219
367		B		14600		158
368		P		14760		198
369		B		14680		153
370		B		14720		166
371		I		14880		676
372		B		14800		284
373		B		14840		253
374		P		15000		310
375		B		14920		196
376		B		14960		190
377		P		15120		164
378		B		15040		140
379		B		15080		144
380		P		15240		254
381		B		15160		136
382		B		15200		172
383		I		15360		595
384		B		15280		208
385		B		15320		197
386		P		15480		290
387		B		15400		166
388		B		15440		166
389		P		15600		207
390		B		15520		126
391		B		15560		141
392		P		15720		362
393		B		15640		151
394		B		15680		155
395		I		15840		916
396		B		15760		318
397		B		15800		322
398		P		15960		464
399		B		15880		261
400		B		15920		262
401		P		16080		501
402		B		16000		257
403		B		16040		260
404		P		16200		535
405		B		16120		317
406		B		16160		344
407		I		16320		1128
408		B		16240		423
409		B		16280		545
410		P		16440		703
411		B		16360		414
412		B		16400		430
413		P		16560		638
414		B		16480		432
415		B		16520		453
416		P		16680		629
417		B		16600		496
418		B		16640		460
419		I		16800		1188
420		B		16720		437
421		B		16760		539
422		P		16920		590
423		B		16840		471
424		B		16880		460
425		P		17040		585
426		B		16960		426
427		B		17000		428
428		P		17160		478
429		B		17080		301
430		B		17120		339
431		I		17280		884
432		B		17200		371
433		B		17240		327
434		P		17400		443
435		B		17320		457
436		B		17360		359
437		P		17520		445
438		B		17440		348
439		B		17480		350
440		P		17640		493
441		B		17560		348
442		B		17600		376
443		I		17760		1076
444		B		17680		446
445		B		17720		376
446		P		17880		580
447		B		17800		371
448		B		17840		382
449		P		18000		607
450		B		17920		380
451		B		17960		419
452		P		18120		538
453		B		18040		351
454		B		18080		333
455		I		18240		1050
456		B		18160		439
457		B		18200		469
458		P		18360		505
459		B		18280		398
460		B		18320		378
461		P		18480		419
462		B		18400		294
463		B		18440		261
464		P		18600		489
465		B		18520		286
466		B		18560		286
467		I		18720		1182
468		B		18640		459
469		B		18680		499
470		P		18840		809
471		B		18760		397
472		B		18800		461
473		P		18960		826
474		B		18880		451
475		B		18920		428
476		P		19080		890
477		B		19000		516
478		B		19040		447
479		I		19200		1794
480		B		19120		500
481		B		19160		545
482		P		19320		844
483		B		19240		588
484		B		19280		606
485		P		19440		971
486		B		19360		525
487		B		19400		571
488		P		19560		1046
489		B		19480		598
490		B		19520		525
491		I		19680		1915
492		B		19600		582
493		B		19640		573
494		P		19800		1042
495		B		19720		539
496		B		19760		576
497		P		19920		1094
498		B		19840		682
499		B		19880		668
500		P		20040		927
501		B		19960		554
502		B		20000		560
503		I		20160		1782
504		B		20080		626
505		B		20120		682
506		P		20280		1063
507		B		20200		613
508		B		20240		567
509		P		20400		882
510		B		20320		503
511		B		20360		577
512		P		20520		951
513		B		20440		600
514		B		20480		501
515		I		20640		2004
516		B		20560		593
517		B		20600		688
518		P		20760		930
519		B		20680		671
520		B		20720		643
521		P		20880		1137
522		B		20800		609
523		B		20840		682
524		P		21000		1038
525		B		20920		780
526		B		20960		753
527		I		21120		2037
528		B		21040		671
529		B		21080		646
530		P		21240		1197
531		B		21160		804
532		B		21200		841
533		P		21360		1229
534		B		21280		766
535		B		21320		746
536		P		21480		1026
537		B		21400		632
538		B		21440		657
539		I		21600		1848
540		B		21520		861
541		B		21560		731
542		P		21720		1079
543		B		21640		607
544		B		21680		685
545		P		21840		1114
546		B		21760		808
547		B		21800		637
548		P		21960		1052
549		B		21880		561
550		B		21920		535
551		I		22080		1660
552		B		22000		644
553		B		22040		580
554		P		22200		962
555		B		22120		550
556		B		22160		525
557		P		22320		1043
558		B		22240		604
559		B		22280		663
560		P		22440		960
561		B		22360		607
562		B		22400		712
563		I		22560		1921
564		B		22480		592
565		B		22520		821
566		P		22680		983
567		B		22600		707
568		B		22640		615
569		P		22800		976
570		B		22720		538
571		B		22760		562
572		P		22920		943
573		B		22840		615
574		B		22880		634
575		I		23040		1631
576		B		22960		604
577		B		23000		598
578		P		23160		939
579		B		23080		527
580		B		23120		525
581		P		23280		936
582		B		23200		593
583		B		23240		554
584		P		23400		918
585		B		23320		604
586		B		23360		557
587		I		23520		1581
588		B		23440		622
589		B		23480		530
590		P		23640		957
591		B		23560		491
592		B		23600		464
593		P		23760		815
594		B		23680		547
595		B		23720		516
596		P		23880		873
597		B		23800		462
598		B		23840		477
599		I		24000		1795
600		B		23920		577
601		B		23960		604
602		P		24120		1297
603		B		24040		687
604		B		24080		624
605		P		24240		1204
606		B		24160		565
607		B		24200		651
608		P		24360		1824
609		B		24280		989
610		B		24320		1023
611		I		24480		2772
612		B		24400		868
613		B		24440		957
614		P		24600		1862
615		B		24520		1050
616		B		24560		960
617		P		24720		1939
618		B		24640		1018
619		B		24680		1023
620		P		24840		2046
621		B		24760		1210
622		B		24800		1239
623		I		24960		3263
624		B		24880		1155
625		B		24920		1269
626		P		25080		2061
627		B		25000		1340
628		B		25040		1368
629		P		25200		1920
630		B		25120		1295
631		B		25160		1169
632		P		25320		1973
633		B		25240		1254
634		B		25280		1372
635		I		25440		2586
636		B		25360		1261
637		B		25400		1165
638		P		25560		1682
639		B		25480		1083
640		B		25520		1088
641		P		25680		1614
642		B		25600		1116
643		B		25640		1171
644		P		25800		1773
645		B		25720		936
646		B		25760		932
647		I		25920		2819
648		B		25840		1149
649		B		25880		1211
650		P		26040		1915
651		B		25960		1098
652		B		26000		1032
653		P		26160		2250
654		B		26080		1217
655		B		26120		1447
656		P		26280		2676
657		B		26200		1700
658		B		26240		1627
659		I		26400		4008
660		B		26320		1530
661		B		26360		1593
662		P		26520		2867
663		B		26440		1736
664		B		26480		1575
665		P		26640		2626
666		B		26560		1813
667		B		26600		1707
668		P		26760		2892
669		B		26680		1678
670		B		26720		1774
671		I		26880		3875
672		B		26800		1702
673		B		26840		1626
674		P		27000		2605
675		B		26920		1836
676		B		26960		2028
677		P		27120		2707
678		B		27040		1737
679		B		27080		1537
680		P		27240		2556
681		B		27160		1680
682		B		27200		1799
683		I		27360		3219
684		B		27280		1532
685		B		27320		1390
686		P		27480		2242
687		B		27400		1457
688		B		27440		1729
689		P		27600		2417
690		B		27520		1451
691		B		27560		1460
692		P		27720		2305
693		B		27640		1322
694		B		27680		1407
695		I		27840		3680
696		B		27760		1555
697		B		27800		1519
698		P		27960		2715
699		B		27880		1408
700		B		27920		1452
701		P		28080		3458
702		B		28000		2056
703		B		28040		2098
704		P		28200		3747
705		B		28120		1873
706		B		28160		1890
707		I		28320		4836
708		B		28240		1947
709		B		28280		2052
710		P		28440		3786
711		B		28360		1981
712		B		28400		2011
713		P		28560		3583
714		B		28480		2065
715		B		28520		2128
716		P		28680		3645
717		B		28600		2336
718		B		28640		2055
719		I		28800		4873
720		B		28720		1978
721		B		28760		2051
722		P		28920		3447
723		B		28840		2110
724		B		28880		2286
725		P		29040		3449
726		B		28960		2016
727		B		29000		1973
728		P		29160		2967
729		B		29080		2105
730		B		29120		2135
731		I		29280		3760
732		B		29200		1899
733		B		29240		1795
734		P		29400		2858
735		B		29320		1612
736		B		29360		1833
737		P		29520		2974
738		B		29440		1809
739		B		29480		1676
740		P		29640		3011
741		B		29560		1656
742		B		29600		1762
743		I		29760		4060
744		B		29680		1933
745		B		29720		1969
746		P		29880		3534
747		B		29800		1699
748		B		29840		1763
749		P		30000		3906
750		B		29920		2184
751		B		29960		2343
752		P		30120		3932
753		B		30040		2068
754		B		30080		2204
755		I		30240		5116
756		B		30160		2307
757		B		30200		2575
758		P		30360		3900
759		B		30280		2194
760		B		30320		2145
761		P		30480		3998
762		B		30400		2305
763		B		30440		2289
764		P		30600		4010
765		B		30520		2548
766		B		30560		2314
767		I		30720		5225
768		B		30640		2175
769		B		30680		2166
770		P		30840		3817
771		B		30760		2465
772		B		30800		2496
773		P		30960		3899
774		B		30880		2472
775		B		30920		2236
776		P		31080		3531
777		B		31000		2056
778		B		31040		2179
779		I		31200		4484
780		B		31120		2164
781		B		31160		1860
782		P		31320		3330
783		B		31240		1796
784		B		31280		2070
785		P		31440		3535
786		B		31360		1962
787		B		31400		1740
788		P		31560		3720
789		B		31480		1988
790		B		31520		1980
791		I		31680		4717
792		B		31600		2341
793		B		31640		2073
794		P		31800		3867
795		B		31720		1989
796		B		31760		1994
797		P		31920		4141
798		B		31840		2292
799		B		31880		2533
800		P		32040		4048
801		B		31960		2024
802		B		32000		1862
803		I		32160		5231
804		B		32080		2139
805		B		32120		2396
806		P		32280		4117
807		B		32200		2728
808		B		32240		2419
809		P		32400		3876
810		B		32320		2116
811		B		32360		2205
812		P		32520		3917
813		B		32440		2469
814		B		32480		2297
815		I		32640		5174
816		B		32560		2311
817		B		32600		2324
818		P		32760		3746
819		B		32680		2164
820		B		32720		2194
821		P		32880		3794
822		B		32800		2329
823		B		32840		2076
824		P		33000		3811
825		B		32920		2144
826		B		32960		2330
827		I		33120		4770
828		B		33040		2106
829		B		33080		2055
830		P		33240		3521
831		B		33160		1851
832		B		33200		2024
833		P		33360		3641
834		B		33280		2006
835		B		33320		1873
836		P		33480		3709
837		B		33400		2007
838		B		33440		2293
839		I		33600		4581
840		B		33520		2157
841		B		33560		1969
842		P		33720		3608
843		B		33640		1869
844		B		33680		1893
845		P		33840		3542
846		B		33760		2023
847		B		33800		2370
848		P		33960		3562
849		B		33880		2014
850		B		33920		1742
851		I		34080		4624
852		B		34000		1726
853		B		34040		1971
854		P		34200		3387
855		B		34120		2233
856		B		34160		1940
857		P		34320		3431
858		B		34240		1728
859		B		34280		1850
860		P		34440		3022
861		B		34360		1937
862		B		34400		2594
863		I		34560		3880
864		B		34480		1524
865		B		34520		1594
866		P		34680		3175
867		B		34600		1770
868		B		34640		1823
869		P		34800		2984
870		B		34720		1412
871		B		34760		1569
872		P		34920		3016
873		B		34840		1686
874		B		34880		1830
875		I		35040		3852
876		B		34960		1900
877		B		35000		1712
878		P		35160		2817
879		B		35080		1277
880		B		35120		1367
881		P		35280		3166
882		B		35200		1633
883		B		35240		1538
884		P		35400		3056
885		B		35320		1561
886		B		35360		1443
887		I		35520		3814
888		B		35440		1747
889		B		35480		1652
890		P		35640		3161
891		B		35560		1571
892		B		35600		1605
893		P		35760		3397
894		B		35680		1547
895		B		35720		1528
896		P		35880		3558
897		B		35800		1728
898		B		35840		1672
899		I		36000		4631
900		B		35920		1759
901		B		35960		1937
902		P		36120		3641
903		B		36040		2017
